date,close,open,high,low,volume
2013-08-12,16.691412,16.316412,16.737483,16.308198,364433524.433524
2013-08-13,17.484625,16.819269,17.666411,16.716055,881940625.940626
2013-08-14,17.803554,17.781411,18.008911,17.621411,756372400.3724
2013-08-15,17.782482,17.729268,17.942803,17.467243,490294518.294518
2013-08-16,17.940339,17.862482,17.962125,17.816411,362303786.303786
2013-08-19,18.133553,18.012125,18.347839,17.999982,510518434.518435
2013-08-20,17.895339,18.20391,18.234625,17.886411,358687330.687331
2013-08-21,17.941411,17.985339,18.112482,17.899982,335877555.877556
2013-08-22,17.962839,18.034982,18.056768,17.792839,244206948.206948
2013-08-23,17.893554,17.973911,17.976768,17.833911,222729106.729107
2013-08-26,17.963196,17.883911,18.22141,17.874982,330964530.964531
2013-08-27,17.449625,17.785697,17.946768,17.36784,424188860.18886
2013-08-28,17.531982,17.357126,17.707125,17.357126,307607019.60702
2013-08-29,17.560697,17.558911,17.732125,17.54034,239655095.655096
2013-08-30,17.400554,17.571411,17.60534,17.374983,272403424.403424
2013-09-03,17.449268,17.610697,17.878554,17.40534,332100996.100996
2013-09-04,17.810375,17.841411,17.937125,17.724268,345031857.031857
2013-09-05,17.688197,17.866054,17.881411,17.629982,236367752.367752
2013-09-06,17.793554,17.801411,17.834982,17.498197,359525371.525372
2013-09-09,18.077482,18.035696,18.139982,17.981411,340686672.686673
2013-09-10,17.665697,18.078553,18.123196,17.482125,743196231.196231
2013-09-11,16.703912,16.678915,16.917483,16.600341,898694722.694723
2013-09-12,16.881769,16.732126,16.978554,16.643198,404050288.050288
2013-09-13,16.603555,16.762133,16.851026,16.596412,298834050.834051
2013-09-16,16.075698,16.464269,16.486051,15.972127,548551208.551209
2013-09-17,16.261412,15.998555,16.418198,15.982127,399379491.379491
2013-09-18,16.595698,16.542126,16.65534,16.452126,456861672.861673
2013-09-19,16.86784,16.810697,16.993912,16.758912,404539252.539253
2013-09-20,16.693198,17.071412,17.091054,16.642841,699301987.301987
2013-09-23,17.52284,17.717839,17.746768,17.235697,762106862.106862
2013-09-24,17.46784,17.674268,17.695339,17.422125,364343336.343336
